type_var,YEAR,typeTotal
Benthic,1950,1.966
Benthic,1951,2.252
Benthic,1952,2.511
Benthic,1953,2.841
Benthic,1954,2.635
Benthic,1955,2.859
Benthic,1956,5.243
Benthic,1957,5.047
Benthic,1958,5.034
Benthic,1959,4.507
Benthic,1960,4.67
Benthic,1961,4.271
Benthic,1962,8.2
Benthic,1963,8.009
Benthic,1964,12.083
Benthic,1965,12.696
Benthic,1966,33.529
Benthic,1967,16.375
Benthic,1968,16.77
Benthic,1969,16.844
Benthic,1970,15.595
Benthic,1971,15.516
Benthic,1972,17.07
Benthic,1973,15.243
Benthic,1974,14.195
Benthic,1975,14.76
Benthic,1976,20.602
Benthic,1977,18.391
Benthic,1978,18.963
Benthic,1979,19.723
Benthic,1980,22.517
Benthic,1981,15.812
Benthic,1982,15.221
Benthic,1983,17.085
Benthic,1984,18.297
Benthic,1985,27.375
Benthic,1986,24.714
Benthic,1987,36.175
Benthic,1988,39.269
Benthic,1989,45.05
Benthic,1990,42.223
Benthic,1991,35.358
Benthic,1992,36.842
Benthic,1993,35.05
Benthic,1994,35.215
Benthic,1995,40.44
Benthic,1996,38.857
Benthic,1997,39.887
Benthic,1998,38.064
Benthic,1999,30.978
Benthic,2000,35.558
Benthic,2001,34.434
Benthic,2002,33.176
Benthic,2003,34.522
Benthic,2004,30.396
Benthic,2005,30.864
Benthic,2006,17.42169
Benthic,2007,20.60442
Benthic,2008,18.94094
Benthic,2009,21.14293
Benthic,2010,23.49479
Benthic,2011,23.60999
Benthic,2012,33.40316
Benthic,2013,36.07636
Benthic,2014,32.35397
Benthic,2015,32.766573
Benthic,2016,51.773115
Benthic,2017,52.27052
Benthic,2018,28.301328858
Demersal,1950,24.351
Demersal,1951,26.254
Demersal,1952,32.968
Demersal,1953,36.849
Demersal,1954,38.97
Demersal,1955,42.521
Demersal,1956,84.132
Demersal,1957,93.076
Demersal,1958,93.742
Demersal,1959,79.227
Demersal,1960,64.07
Demersal,1961,53.107
Demersal,1962,62.435
Demersal,1963,71.491
Demersal,1964,107.076
Demersal,1965,125.895
Demersal,1966,160.671
Demersal,1967,135.813
Demersal,1968,121.233
Demersal,1969,123.836
Demersal,1970,105.403
Demersal,1971,119.197
Demersal,1972,145.396
Demersal,1973,167.33
Demersal,1974,157.596
Demersal,1975,139.889
Demersal,1976,183.15
Demersal,1977,144.316
Demersal,1978,149.283
Demersal,1979,136.238
Demersal,1980,143.749
Demersal,1981,153.904
Demersal,1982,164.692
Demersal,1983,167.256
Demersal,1984,159.814
Demersal,1985,195.384
Demersal,1986,189.057
Demersal,1987,214.5
Demersal,1988,225.185
Demersal,1989,236.653
Demersal,1990,186.51
Demersal,1991,153.768
Demersal,1992,133.499
Demersal,1993,149.433
Demersal,1994,148.083
Demersal,1995,159.466
Demersal,1996,158.967
Demersal,1997,153.358
Demersal,1998,138.98
Demersal,1999,83.569
Demersal,2000,121.021
Demersal,2001,103.655
Demersal,2002,100.635
Demersal,2003,84.604
Demersal,2004,72.314
Demersal,2005,76.379
Demersal,2006,56.61378
Demersal,2007,52.86967
Demersal,2008,50.19205
Demersal,2009,58.51119
Demersal,2010,59.09349
Demersal,2011,63.55762
Demersal,2012,86.73473
Demersal,2013,85.27852
Demersal,2014,85.93966
Demersal,2015,83.092852
Demersal,2016,108.678148
Demersal,2017,101.994055
Demersal,2018,84.075062886
Pelagic,1950,8.857
Pelagic,1951,8.858
Pelagic,1952,7.919
Pelagic,1953,8.362
Pelagic,1954,7.898
Pelagic,1955,10.53
Pelagic,1956,55.727
Pelagic,1957,14.065
Pelagic,1958,74.4
Pelagic,1959,14.42
Pelagic,1960,92.694
Pelagic,1961,64.732
Pelagic,1962,84.094
Pelagic,1963,69.088
Pelagic,1964,88.921
Pelagic,1965,89.348
Pelagic,1966,157.377
Pelagic,1967,143.847
Pelagic,1968,126.983
Pelagic,1969,161.925
Pelagic,1970,203.454
Pelagic,1971,293.373
Pelagic,1972,313.486
Pelagic,1973,420.865
Pelagic,1974,419.223
Pelagic,1975,454.21
Pelagic,1976,318.8
Pelagic,1977,238.857
Pelagic,1978,376.351
Pelagic,1979,422.91
Pelagic,1980,407.185
Pelagic,1981,513.017
Pelagic,1982,623.751
Pelagic,1983,608.978
Pelagic,1984,747.198
Pelagic,1985,696.301
Pelagic,1986,695.683
Pelagic,1987,729.402
Pelagic,1988,678.731
Pelagic,1989,699.965
Pelagic,1990,661.754
Pelagic,1991,594.443
Pelagic,1992,694.542
Pelagic,1993,824.441
Pelagic,1994,825.352
Pelagic,1995,951.403
Pelagic,1996,832.537
Pelagic,1997,876.816
Pelagic,1998,1011.76
Pelagic,1999,787.242
Pelagic,2000,702.673
Pelagic,2001,785.002
Pelagic,2002,604.57
Pelagic,2003,573.549
Pelagic,2004,680.381
Pelagic,2005,794.099
Pelagic,2006,580.75706
Pelagic,2007,619.24658
Pelagic,2008,594.13046
Pelagic,2009,518.68876
Pelagic,2010,558.64232
Pelagic,2011,365.37295
Pelagic,2012,486.96807
Pelagic,2013,526.79454
Pelagic,2014,803.75713
Pelagic,2015,745.013808
Pelagic,2016,752.281584
Pelagic,2017,932.594825
Pelagic,2018,958.91745575
undefined,1950,7.651
undefined,1951,7.646
undefined,1952,7.279
undefined,1953,7.493
undefined,1954,7.361
undefined,1955,8.198
undefined,1956,10.092
undefined,1957,11.938
