type_var,YEAR,typeTotal
atlantic mackerel,1985,345.355
atlantic mackerel,1986,285.366
atlantic mackerel,1987,351.491
atlantic mackerel,1988,358.961
atlantic mackerel,1989,268.65
atlantic mackerel,1990,252.595
atlantic mackerel,1991,246.414
atlantic mackerel,1992,290.092
atlantic mackerel,1993,346.386
atlantic mackerel,1994,337.637
atlantic mackerel,1995,312.36
atlantic mackerel,1996,205.956
atlantic mackerel,1997,199.783
atlantic mackerel,1998,266.314
atlantic mackerel,1999,215.869
atlantic mackerel,2000,237.912
atlantic mackerel,2001,242.006
atlantic mackerel,2002,227.379
atlantic mackerel,2003,218.039
atlantic mackerel,2004,201.362
atlantic mackerel,2005,173.715
atlantic mackerel,2006,123.23082
atlantic mackerel,2007,139.74741
atlantic mackerel,2008,138.28303
atlantic mackerel,2009,181.41392
atlantic mackerel,2010,172.80769
atlantic mackerel,2011,192.37274
atlantic mackerel,2012,171.50219
atlantic mackerel,2013,163.24118
atlantic mackerel,2014,240.61219
atlantic mackerel,2015,205.227849
atlantic mackerel,2016,225.769471
atlantic mackerel,2017,236.89722
atlantic mackerel,2018,172.99512195
blue whiting,1950,0
blue whiting,1951,0
blue whiting,1952,0
blue whiting,1953,0
blue whiting,1954,0
blue whiting,1955,0
blue whiting,1956,0
blue whiting,1957,0
blue whiting,1958,0
blue whiting,1959,0
blue whiting,1960,0
blue whiting,1961,0
blue whiting,1962,0
blue whiting,1963,0
blue whiting,1964,0
blue whiting,1965,0
blue whiting,1966,0
blue whiting,1967,0
blue whiting,1968,0
blue whiting,1969,0
blue whiting,1970,0.078
blue whiting,1971,6.369
blue whiting,1972,11.277
blue whiting,1973,11.747
blue whiting,1974,13.999
blue whiting,1975,26.939
blue whiting,1976,42.318
blue whiting,1977,40.208
blue whiting,1978,75.489
blue whiting,1979,121.404
blue whiting,1980,98.49
blue whiting,1981,89.031
blue whiting,1982,145.618
blue whiting,1983,171.628
blue whiting,1984,236.963
blue whiting,1985,192.856
blue whiting,1986,268.212
blue whiting,1987,151.406
blue whiting,1988,115.95
blue whiting,1989,179.911
blue whiting,1990,140.015
blue whiting,1991,92.32
blue whiting,1992,127.765
blue whiting,1993,143.648
blue whiting,1994,150.453
blue whiting,1995,158.99
blue whiting,1996,178.545
blue whiting,1997,261.794
blue whiting,1998,379.983
blue whiting,1999,293.443
blue whiting,2000,267.677
blue whiting,2001,359.388
blue whiting,2002,211.292
blue whiting,2003,189.922
blue whiting,2004,305.256
blue whiting,2005,452.267
blue whiting,2006,322.7705
blue whiting,2007,355.6785
blue whiting,2008,337.5873
blue whiting,2009,237.5027
blue whiting,2010,246.14328
blue whiting,2011,23.7702
blue whiting,2012,158.13541
blue whiting,2013,250.72917
blue whiting,2014,439.8056
blue whiting,2015,419.68534
blue whiting,2016,414.685429
blue whiting,2017,636.365097
blue whiting,2018,719.8067223
whiting,1950,3.343
whiting,1951,3.889
whiting,1952,4.541
whiting,1953,4.372
whiting,1954,6.661
whiting,1955,6.9
whiting,1956,11.44
whiting,1957,13.869
whiting,1958,16.715
whiting,1959,19.552
whiting,1960,11.826
whiting,1961,11.954
whiting,1962,21.586
whiting,1963,18.582
whiting,1964,19.894
whiting,1965,26.039
whiting,1966,38.186
whiting,1967,38.061
whiting,1968,28.604
whiting,1969,25.851
whiting,1970,18.062
whiting,1971,20.751
whiting,1972,23.721
whiting,1973,28.349
whiting,1974,28.344
whiting,1975,31.625
whiting,1976,43.726
whiting,1977,33.605
whiting,1978,32.958
whiting,1979,33.831
whiting,1980,36.049
whiting,1981,38.763
whiting,1982,34.649
whiting,1983,29.588
whiting,1984,30.66
whiting,1985,37.006
whiting,1986,25.803
whiting,1987,35.533
whiting,1988,36.546
whiting,1989,42.3
whiting,1990,36.803
whiting,1991,27.194
whiting,1992,25.659
whiting,1993,28.49
whiting,1994,30.864
whiting,1995,33.05
whiting,1996,29.374
whiting,1997,28.762
whiting,1998,24.689
whiting,1999,13.038
whiting,2000,18.177
whiting,2001,15.452
whiting,2002,14.824
whiting,2003,11.176
whiting,2004,9.586
whiting,2005,11.457
whiting,2006,8.09132
whiting,2007,7.55922
whiting,2008,4.68335
whiting,2009,3.87552
whiting,2010,6.0797
whiting,2011,6.70804
whiting,2012,8.40695
whiting,2013,9.56548
whiting,2014,10.37255
whiting,2015,9.28753
whiting,2016,10.749659
whiting,2017,7.94773
whiting,2018,5.680866846
other,1950,34.22
other,1951,37.31
