"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"pok.27.3a46",2018,"MSY","Precautionary approach","GREEN","GREEN","GREEN","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion","demersal"
"pol.27.67",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"pol.27.67",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"raj.27.67a-ce-h",2018,"No advice","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"raj.27.67a-ce-h",2018,"No advice","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"reg.27.561214",2019,"MP","Maximum sustainable yield","RED","GREEN","GREEN","Arctic Ocean Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"reg.27.561214",2019,"MP","Precautionary approach","GREEN","GREEN","GREEN","Arctic Ocean Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"rjb.27.67a-ce-k",2018,"PA/Stock status only","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjb.27.67a-ce-k",2018,"PA/Stock status only","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjc.27.6",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjc.27.6",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjc.27.7afg",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rjc.27.7afg",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rjc.27.7e",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rjc.27.7e",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rje.27.7de",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rje.27.7de",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rje.27.7fg",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rje.27.7fg",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rjf.27.67",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjf.27.67",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjh.27.7afg",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rjh.27.7afg",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion","elasmobranch"
"rjh.27.7e",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rjh.27.7e",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rji.27.67",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rji.27.67",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjm.27.67bj",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjm.27.67bj",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjm.27.7ae-h",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rjm.27.7ae-h",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rjn.27.678abd",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rjn.27.678abd",2018,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rju.27.7bj",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rju.27.7bj",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"rju.27.7de",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rju.27.7de",2018,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Greater North Sea Ecoregion","elasmobranch"
"rng.27.1245a8914ab",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"rng.27.1245a8914ab",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"rng.27.5b6712b",2018,"MSY","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"rng.27.5b6712b",2018,"MSY","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"san.27.6a",2018,"No advice","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion","demersal"
